Time [min],Intensity [counts]
Chromatogram,
3.96,3252.952393
3.97,3127.904541
3.97,2924.618896
3.98,2922.857422
3.99,2931.142822
3.99,2868.047607
4.00,2839.476074
4.01,2890.047607
4.01,2910.381104
4.02,3149.190674
4.02,3208.19043
4.03,3051.952393
4.04,3022.714111
4.04,2914.666504
4.05,2844
4.05,2921.285645
4.06,2965.856934
4.07,3032.571533
4.07,3177.428467
4.08,3139.380859
4.08,3109.619141
4.09,2993.952393
4.10,3040.714355
4.10,3075.047607
4.11,3034.428467
4.11,3016.47583
4.12,2954.714355
4.13,2830.047852
4.13,2823.999756
4.14,2683.095215
4.14,2609
4.15,2737.380859
4.16,2772.571533
4.16,2818.904541
4.17,2784.952393
4.17,2682.381104
4.18,2623.857178
4.19,2843.142822
4.19,2984.523926
4.20,3171.476074
4.20,3141.714355
4.21,2972.523682
4.22,2870.047852
4.22,2843.666748
4.23,2781.666992
4.23,2821.19043
4.24,2739.571533
4.25,2881.571533
4.25,3002.523682
4.26,3214.2854
4.26,3241.666748
4.27,3237.094971
4.28,3121.190674
4.28,3047.857178
4.29,3038.380859
4.30,3156.190186
4.30,3032.285889
4.31,3098.380615
4.31,3086.904541
4.32,2954.381104
4.33,3130.761963
4.33,2972.190186
4.34,2751.285645
4.34,2768.523682
4.35,2756.047607
4.36,2806.761963
4.36,2909.333252
4.37,2829.476318
4.37,2853.476074
4.38,2876.095215
4.39,2956.476074
4.39,2985.571289
4.40,2939.619141
4.40,2821.761963
4.41,2840.952637
4.42,2730.523682
4.42,2855.285645
4.43,2821.619141
4.43,2675.047607
4.44,2655.666748
4.45,2663.80957
4.45,2714.285889
4.46,2960.523926
4.46,2862.904541
4.47,2796.523682
4.48,2830.857178
4.48,2714.857178
4.49,2710.571289
4.49,2842.428467
4.50,2838.761719
4.51,3085.619141
4.51,3066.618896
4.52,3115.761963
4.52,3014.047607
4.53,2985.952393
4.54,3089.904541
4.54,3223.666504
4.55,3203.856934
4.55,3134.666504
4.56,2806.761963
4.57,2580.714111
4.57,2625.618896
4.58,2628.285645
4.59,2794.809326
4.59,2908.618896
4.60,2803.095215
4.60,2830.714355
4.61,2948.142822
4.62,3226.19043
4.62,3908.333252
4.63,4893.19043
4.63,5780.285156
4.64,6280.904297
4.65,6074.572266
4.65,5683.619629
4.66,4884.80957
4.66,4338
4.67,3947.333496
4.68,3589.094971
4.68,3375.476318
4.69,3317.714111
4.69,3152.952393
4.70,3059.047607
4.71,3044.047852
4.71,3092.285645
4.72,3198.143066
4.72,3248.476074
4.73,3267.999512
4.74,3083.428467
4.74,2990.952637
4.75,3003
4.75,3044.618896
4.76,3039.142822
4.77,3073
4.77,3134.7146
4.78,2950.143066
4.78,2879.571533
4.79,2729.476318
4.80,2810.714355
4.80,2896.856934
4.81,3049.856934
4.81,3009.761719
4.82,2979.381104
4.83,2915.714355
4.83,2959.666504
4.84,3217.333008
4.84,3339.19043
4.85,3484.476563
4.86,3517.666504
4.86,3362.143066
4.87,3255.714355
4.88,3318.000244
4.88,3155.238281
4.89,3023.523438
4.89,2904.047852
4.90,2775.047852
4.91,2825.714355
4.91,2896
4.92,2969.285645
4.92,2858.285645
4.93,2816.761719
4.94,2719.476074
4.94,2581.238037
4.95,2645.571533
4.95,2645.047607
4.96,2629.523682
4.97,2799.762207
4.97,2894.190674
4.98,2924.142578
4.98,2922.285645
4.99,2686.761719
5.00,2507.952393
5.00,2409
5.01,2426.952393
5.01,2508
5.02,2592.52417
5.03,2696.666748
5.03,2764.952637
5.04,2816.142822
5.04,2868.761963
5.05,2806.380859
5.06,2683.333496
5.06,2678.047852
5.07,2524.476318
5.07,2454.905029
5.08,2523.000244
5.09,2630.143066
5.09,2723.666748
5.10,2915.047607
5.10,2773.333252
5.11,2684.857178
5.12,2726.761963
5.12,2640.80957
5.13,2744.857178
5.13,2736.476074
5.14,2635.047363
5.15,2725.761963
5.15,2589.571533
5.16,2449.381104
5.17,2495.333252
5.17,2407.094971
5.18,2413.80957
5.18,2558.238037
5.19,2591.380859
5.20,2659.523926
5.20,2690.952393
5.21,2623.523926
5.21,2491.952637
5.22,2453.714355
5.23,2431.761963
5.23,2562.190674
5.24,2634.571289
5.24,2679.381104
5.25,2682.333496
5.26,2586.999756
5.26,2507.999756
5.27,2569.285645
5.27,2530.142578
5.28,2396.428467
5.29,2507.238281
5.29,2464.761963
5.30,2489.047607
5.30,2409.238037
5.31,2317.333496
5.32,2264
5.32,2408.952393
5.33,2531.80957
5.33,2477
5.34,2400.285645
5.35,2469.19043
5.35,2521.714355
5.36,2584.238037
5.36,2613.047607
5.37,2514.80957
5.38,2567.761719
5.38,2724.428711
5.39,2704.619141
5.39,2633.047607
5.40,2464.666748
5.41,2405.095215
5.41,2479.381104
5.42,2521.428711
5.43,2481.856934
5.43,2381.761963
5.44,2298.238281
5.44,2465.333496
5.45,2619.095215
5.46,2640.333496
5.46,2482.428467
5.47,2403.857178
5.47,2269.381104
5.48,2515.952393
5.49,2612.380859
5.49,2694.523682
5.50,2427.904541
5.50,2368.095459
5.51,2284.571289
5.52,2254.142822
5.52,2227.142822
5.53,2323.666504
5.53,2299.571533
5.54,2545.428467
5.55,2937.952393
5.55,3100.33374
5.56,3213.666504
5.56,3263.380615
5.57,3188.857178
5.58,3062.476074
5.58,3009.952148
5.59,2733.714355
5.59,2396.809814
5.60,2266.142822
5.61,2338.476074
5.61,2439.095215
5.62,2482.142822
5.62,2404.142822
5.63,2246.095215
5.64,2253.142822
5.64,2409.80957
5.65,2558.238037
5.65,2637.381104
5.66,2646.761963
5.67,2516.714355
5.67,2466.2854
5.68,2411.714355
5.68,2356.285645
5.69,2350.7146
5.70,2346.238037
5.70,2319.381348
5.71,2350.999756
5.72,2429.523926
5.72,2324.856934
5.73,2288.523926
5.73,2416.857178
5.74,2453.142822
5.75,2503.381104
5.75,2575.571289
5.76,2472.952393
5.76,2401.476318
5.77,2517.380859
5.78,2419.952393
5.78,2348.333252
5.79,2473.618896
5.79,2532.619141
5.80,2574.714355
5.81,2733.333252
5.81,2594.904785
5.82,2574.618896
5.82,2615.666748
5.83,2550.714355
5.84,2544.428711
5.84,2560.19043
5.85,2471.666504
5.85,2436.2854
5.86,2433.000244
5.87,2365.47583
5.87,2459.190674
5.88,2377.618896
5.88,2217.80957
5.89,2290.523926
5.90,2350.523926
5.90,2397.857178
5.91,2374.428467
5.91,2327.666992
5.92,2104.333252
5.93,2085.238037
5.93,2182.761963
5.94,2295.80957
5.94,2365.80957
5.95,2525.238037
5.96,2390.285645
5.96,2335.428711
5.97,2371.094971
5.97,2383.761963
5.98,2474.381104
5.99,2461.190674
5.99,2344.952393
6.00,2428.857178
6.01,2396.666748
6.01,2464.428467
6.02,2420.381104
6.02,2379.714111
6.03,2335.285889
6.04,2400.095215
6.04,2404.476318
6.05,2377.952637
6.05,2263.619141
6.06,2271.619141
6.07,2328.285645
6.07,2552.618896
6.08,2706.809326
6.08,2587.523926
6.09,2363.619141
6.10,2097.809326
6.10,2101.761719
6.11,2246.523926
6.11,2369.523682
6.12,2410.714355
6.13,2435.238281
6.13,2310.333252
6.14,2368.428467
6.14,2402.619141
6.15,2422.80957
6.16,2451.428711
6.16,2432.904785
6.17,2363.238037
6.17,2237.523682
6.18,2260.857178
6.19,2228.856934
6.19,2223.619141
6.20,2332.809326
6.20,2469.523682
6.21,2487.809326
6.22,2564.095215
6.22,2509.999756
6.23,2539.000244
6.23,2475.714111
6.24,2392.047607
6.25,2372.428467
6.25,2366.142822
6.26,2362.333496
6.26,2390.476074
6.27,2323.095459
6.28,2308.095215
6.28,2234.142822
6.29,2317.952393
6.30,2317.333252
6.30,2343.952393
6.31,2413.333252
6.31,2354.523682
6.32,2231.904785
6.33,2224.333496
6.33,2160.476318
6.34,2251.19043
6.34,2380.619141
6.35,2493.666504
6.36,2424.476074
6.36,2378.714355
6.37,2212.381104
6.37,2039.095215
6.38,2083.571533
6.39,2165.618896
6.39,2151.238281
6.40,2242.285645
6.40,2424.523926
6.41,2505.428223
6.42,2658
6.42,2800.333252
6.43,2826.714355
6.43,2561.238037
6.44,2573.618896
6.45,2555.333252
6.45,2450.952393
6.46,2415.857178
6.46,2452
6.47,2339.476318
6.48,2370.714355
6.48,2438.190674
6.49,2540.809326
6.49,2680.714355
6.50,2753.952637
6.51,2763.047363
6.51,2788.904785
6.52,2858.761719
6.52,2992.952148
6.53,2882.333496
6.54,2528.761719
6.54,2226.428467
6.55,2028.952393
6.55,1965.904907
6.56,1932.190552
6.57,1938.857056
6.57,2127.80957
6.58,2143.761963
6.59,2273.333252
6.59,2280.2854
6.60,2298.333496
6.60,2298.904785
6.61,2314.333496
6.62,2148.80957
6.62,2199.190674
6.63,2304.238037
